dest_id,dest_country,dest_name,dest_name_eng,dest_content,dest_reference,dest_money,dest_landscape,dest_fun,dest_tag,dest_img,dest_cnt,,dest_map
america_01,미국,벨라지오 분수,Fountains of Bellagio,"벨라지오 분수는 네바다 주 파라다이스 의 라스베이거스 스트립 에 위치한 벨라지오 리조트 의 무료 명소입니다 . 리조트 앞 8.5에이커(3.4ha) 규모의 인공호수에서 공연되는 음악분수 쇼 로 구성된다 . 쇼는 1,214개의 물 노즐과 4,792개의 조명을 사용합니다. 분수는 460피트 높이로 솟아오릅니다. 분수 쇼를 포함하는 뮤지컬 공연과 같은 행사를 주최하기 위해 때때로 무대가 호수에 세워집니다. 소유주인 Steve Wynn 이 고안했으며 디자인 회사인 WET 에서 제작했습니다 . 1995년 분수 쇼 작업이 시작되어 1998년 10월 15일 리조트와 함께 개장했습니다. 이 명소는 4천만 달러에 지어져 세계에서 가장 비싼 분수 중 하나가 되었습니다. 벨라지오 분수는 수많은 영화에 등장했습니다. 라스베이거스의 시그니처 명소이자 미국에서 가장 사진이 많이 찍히는 장소 중 하나입니다. 2009년까지 세계 최대 규모의 분수쇼였습니다.",위키백과,0.09696321,0.56244221,0.15599805,"분수, 음악, 아름답다, 밤, 호텔",https://youimg1.tripcdn.com/target/100d10000000otrtx3E8C_C_760_506.jpg,0,,america_bellagio-fountain_origin.csv
america_02,미국,그랜드 캐니언 국립공원,Grand Canyon National Park,"그랜드 캐니언 국립공원(Grand Canyon National Park)은 미국 애리조나주에 있는 국립공원이다. 미국의 국립공원 중에서 가장 규모가 크고 웅장하고 신비로운 대협곡(그랜드 캐니언)이 유명한 세계적인 관광지로 꼽히며, 음역어로 大峡谷国家公园(대협곡국가공원)이라고도 한다. 2016년 한해에 이 공원을 찾아온 방문자 수는 무려 600만 명에 이르렀다. 1,600m의 깊은 계곡에 흐르는 콜로라도 강을 사이에 두고 남쪽과 북쪽 양쪽으로 공원이 나뉜다. 북쪽의 공원을 노스림(North Rim)이라고 부르는데 이는 북쪽의 가장자리란 뜻이다. 남쪽 가장자리는 사우스림(South Rim)으로 불리는데 대부분의 관광객은 사우스림을 찾아온다. 그랜드 캐니언 국립공원의 면적은 1,904평방마일(4930km2)로 제주도 섬 전체 면적(1,846km2)의 2.7배에 해당되는 방대한 면적을 차지한다. 공원 지역 내에서의 콜로라도 강의 길이도 무려 277마일(443km)이 된다.세계적인 자연 경관의 대 협곡, 그랜드 캐니언을 국립공원으로 지정하려는 미국 정부의 노력은 1882년부터 시작되었으나 국립공원이 되기까지는 30여년의 오랜 시간이 걸렸다. 1903년 시어도어 루스벨트 대통령이 이곳을 방문해서 그랜드 캐니언을 보고 감격해서 아래와 같이 말했다.이와 같은 열정에도 불구하고 5년이 걸린 1908년에 와서야 그랜드 캐니언은 내셔널 모뉴먼트(National Monument)로 지정될 수 있었고 또 11년이 지난 1919년에 우드로 윌슨 대통령 재임 중 마침내 국립공원으로 승격되었다. 그랜드 캐니언 국립공원은 1979년에 유네스코 세계유산으로 지정되었다.공원은 1904평방마일(4930평방km)의 방대한 면적을 차지한다. 콜로라도 강을 사이에 두고 남과 북의 협곡으로 나뉘어 있다. 공원지역 내에서 콜로라도 강의 길이가 무려277마일(443km)로 한국의 한강 길이 (494km)에 가깝다. 캐니언의 폭은 제일 좁은 곳은 180m에서 제일 넓은 곳은 30km(600ft~18마일)까지 되며 협곡의 깊이는 약 1마일(1.6km)이 되는 협곡이다. 사우스림(South Rim)은 해발 2300m의 고원지대이며 강우량이 적은 편이나 노스림(Nouth Rim)은 해발 2700m가 되어 비교적 비와 눈이 많이 내린다. 따라서 북쪽 노스림은 남쪽의 사우스림보다 더",위키백과,0.56291141,0.49058814,0.24262073,"공원, 협곡, 자연, 풍경, 국립",https://youimg1.tripcdn.com/target/100w1d000001erh9d745F_C_760_506.jpg,0,,america_grandcanyon_origin.csv
america_03,미국,라스베이거스 스트립,Las Vegas Strip,"라스베이거스 스트립(Las Vegas Strip)은 네바다주 클라크군에 라스베가스 대로 남부의 대략 6.1km로 이어진 구간이다. 스트립은 패러다이스와 윈체스터에 걸쳐 있으며, 라스베이거스에 속하지 않는다.최대 규모의 호텔, 카지노와 세계의 리조트 대부분은 세계에서 유명한 라스베이거스 스트립에 위치해있다.",위키백과,0.59923067,0.53546415,0.40509948,"호텔, 밤, 도시, 거리, 아름답다",https://youimg1.tripcdn.com/target/100e1f000001gt1nv8EDC_C_760_506.jpg,0,,america_lasvegas-strip_origin.csv
america_04,미국,자유의 여신상,Statue of Liberty,"자유의 여신상(自由의 女神像,  영어: Statue of Liberty 스태추 오브 리버티 국립기념물, 프랑스어: Statue de la Liberté 스타튀 드 라 리베르테)은 미국 뉴욕 리버티섬에 있는 건축물로, 뉴욕을 상징하는 대표적인 건축물이며, 세계를 밝히는 자유(영어: Liberty Enlightening the World 리버티 인라이트닝 더 월드, 프랑스어: La liberté éclairant le monde 라 리베르테 에클레랑 르 몽드)라는 이름으로, 프랑스가 19세기 말에 미국의 독립 100주년을 축하하기 위해 제작한 동상이다.미국과 프랑스 국민들 간의 친목을 기념하고, 미국의 독립 100주년을 기념하기 위해 프랑스 국민들의 모금 운동으로 증정되었으며, 1886년에 완공되었다. 미국의 자유와 민주주의의 상징이자 19세기 이후 끊이지 않고 세계 각지에서 유입된 이민자에게 신천지의 상징이 되기도 했다. 1984년에는 유네스코 세계문화유산에 등록되었다.발코니까지 엘리베이터가 올라가며 거기에서부터 전망대인 머리부분까지는 나선형의 계단이 설치되어 있다. 여신상은 원래 등대였기 때문에 뉴욕 항을 향하고 있다. 횃불은 등대의 역할을 했었지만, 구름에 반사되어 선박 운항에 방해가 된다는 청원으로 등대의 기능은 없어지게 되었다.또, 시간이 지남에 따라 자유의 여신상에 녹이 스는 등의 문제가 발생하여 자유의 여신상 수리 작업이 국가적 사업으로 추진되는 일도 생겼다. 이때, 공사기간은 최소 1~2년이 걸렸다고 알려졌다.",위키백과,0.29321078,0.3501719,0.60713816,"섬, 상징, 티켓, 보트, 페리",https://youimg1.tripcdn.com/target/10090e00000076pky1B52_C_760_506.jpg,0,,america_statue-of-liberty_origin.csv
austrailia_01,호주,달링 하버,Darling Harbour,"달링 하버(Darling Harbour)는 시드니 중심 업무 지역에 위치한 관광객과 지역민의 여가와 오락을 위해 조성된 세계에서 가장 큰 선착장 중 하나로 시드니의 주요 관광 명소 중 하나이다.시드니 센트럴비즈니스지구(Sydney central business district) 내에 있으며 1984년 뉴사우스웨일스의 200주년 기념사업으로 재개발되었다. 이곳은 100년 전만 해도 대단위 공업지대로 상업과 경제의 중심지였으며, 특히 방직, 곡물, 석탄 등을 운반하는 선박터미널이 있었지만 시설 노후화와 컨테이너 선박이 등장하는 등 운송수단이 변화하자 점차 황폐해져갔다. 1984년 지역의 상업적 부흥을 위해 달링하버 건설 특별위원회가 구성되었고 1988년 복합체건물을 설립했다. 현재는 유명한 오스트레일리아 국립해양박물관과 시드니수족관이 들어섰으며 이외에도 컨벤션센터, 페스티벌 마켓 플레이스 등 다양한 쇼핑센터가 자리 잡고 있다.오스트레일리아 뉴사우스웨일스주 시드니 중심 업무 지구에 위치(남위 33도 52분 20초, 동경 151도 11분 56초)하고 있으며 시드니 오페라 하우스와 시드니 하버 브리지로부터 도보로 약 30분, 기차로 약 5분, 킹스포드 스미스 국제공항으로부터 택시로 약 30분, 기차로 약 40분 거리에 위치하고 있다.1980년대 이전 상업적인 용도로 사용되다가 방치된 부두를 개조하여 관광지로 만들었으며 1825년부터 1831년까지 재임했던 뉴 사우스 웨일즈 주지사 랄프 달링의 이름을 따 달링 하버라고 이름지어졌다.",위키백과,0.89212082,0.57753942,0.46625186,"시드니, 항구, 아름답다, 밤, 레스토랑",https://youimg1.tripcdn.com/target/01044120006a3260oC5C0_C_760_506.jpg,0,,austrailia_darling-harbour_origin.csv
austrailia_02,호주,시드니 오페라 하우스,Sydney Opera House,"시드니 오페라 하우스(영어: Sydney Opera House)는 오스트레일리아 뉴사우스웨일스주 시드니에 있는 공연장이다. 1547석의 오페라 극장과 2679석의 음악당을 비롯해 여러 개의 극장, 전시관, 도서관 등이 있다. 이곳은 가장 유명하고 인상적인 20세기의 건축물 가운데 하나로, 세계에서 가장 유명한 공연장 중 하나이다. 공원 지역과 함께 시드니 하버 브리지, 베넬롱 포인트가 있다.남쪽으로는 시드니의 유명한 다리인 시드니 하버 브리지와 가까우며 시드니 하버 브리지와 시드니 오페라 하우스 주변의 풍경은 오스트레일리아의 대표적인 이미지 가운데 하나이다. 조개 껍질처럼 생긴 이 건물의 지붕 모양은 국제 디자인 공모전의 우승작 작가인 덴마크의 건축가 이외른 우촌이 오렌지 껍질을 벗기던 도중에 떠올린 것으로 알려져 있다. 부분적으로 원형의 모양인 바깥 표면은 자주 그 곳을 항해하는 범선의 소함대를 떠올리게 한다. 시드니 오페라 하우스는 비록 많은 관광객이 공연 관람에 관심이 없더라도 시드니의 주요 관광지 중의 하나로 손꼽힌다.발레와 음악 공연, 오페라가 열리는 시드니 오페라 하우스는 오스트레일리아 오페라 극단, 시드니 극장단, 시드니 교향 관현악단의 상주지이며 뉴사우스웨일스주 문화부 장관 산하 기구인 오페라 하우스 기금에 의해 운영된다.시드니 오페라 하우스는 2007년 유네스코 세계유산에 선정되었다.1959년 3월 1일에 착공하여 1973년 10월 20일에 완공되었다. 완공이 될때까지 4년이 걸릴거라고 예상을 했지만,실제로 14이 걸렸다. 14년이 걸린 이유는 오페라 하우스의 지붕이 까다롭고,제작이 힘든구조이기 때문이다. 그리고 또한 시드니 오페라 하우스는 건축 당시 예상 금액이 $7,000,000 이였다. 하지만 실제 건축에 들어간 금액은 $102,000,000 이 사용 되었다. 처음 개관 당시 엘리자베스 2세가 개관식에 참석하였다.해마다 1월 1일 자정이 되면 세계에서 가장 큰 규모의 새해맞이 불꽃놀이가 시드니 오페라 하우스와 시드니 달링 하버 근처에서 벌어진다. 이 행사를 보기 위해 수만 명의 관광객들이 매년 12월 31일에 시드니를 찾는다. 2.5시간 동안 오페라 하우스를 무료로 관람할 수 있다고 한다.현재 각종 대중 문화 공연이 꾸준히 이어지고 있으며 최근에는 가수 발굴 및 육성 프로그램인 오스트레일리안 아이돌의 생방송 스튜디오로도 활용되어 전 세계의 주목을 받고 있다.영화, 드라마, 애니메이션 등의 배경이라고도 한다.오버워치의 2017 하계 스포츠 대회에도 미래도시가 등장한 적이 있었다.",위키백과,0.78768975,0.51658578,0.27811912,"아름답다, 건물, 바다, 사진, 공연",https://youimg1.tripcdn.com/target/100l0x000000leakb136D_C_760_506.jpg,0,,austrailia_sydney-opera-house_origin.csv
cambodia_01,캄보디아,앙코르와트,Angkor Wat,"앙코르 와트(크메르어: អង្គរវត្ត, 영어: Angkor Wat, Angkor Vat)는 캄보디아 시엠레아프 주의 앙코르에 위치한 사원으로, 12세기 초에 수리야바르만 2세에 의해 옛 크메르 제국의 사원으로서 창건되었다. 앙코르 유적 중에서 가장 잘 보존되어 있으며, 축조된 이래 크메르 제국의 모든 종교 활동의 중심지 역할을 맡은 사원이다. 처음에는 힌두교 사원으로 힌두교의 3대 신 중 하나인 비슈누 신에게 봉헌되었고, 나중에는 불교 사원으로도 쓰였다.[2] 옛 크메르 제국의 수준 높은 건축술을 가장 잘 보여주는 유적이다. 또한 캄보디아의 상징이기도 하기에 국기에도 그려져 있고, 세계적으로도 명성이 높은 관광지이다. 앙코르 와트는 12세기 크메르 제국의 황제 수리야바르만 2세에 의해 약 30년에 걸쳐 축조되었다. 사원의 정문이 서쪽을 향하고 있는 것이 특징이다. 이것은 해가 지는 서쪽에 사후 세계가 있다는 힌두교 교리에 의한 것으로, 앙코르 와트가 데바라자의 사후세계를 위하여 지어진 사원임을 짐작할 수 있다.[3] 앙코르 와트는 크게 산처럼 생긴 탑들과 그를 둘러싸고 있는 회랑으로 구성되어 있는데, 이때 이 탑들은 불교 신들의 고향인 수미산을 상징한다. 앙코르 와트는 길이 5km가 넘는 깊은 해자에 둘러싸여 있으며, 외벽은 그 길이가 3.6km에 달한다. 외벽 안쪽에는 3개의 회랑들이 벽을 이루어 지어져 있고, 사원 정중앙에는 4개의 탑이 1개의 중앙 탑을 중심으로 세워져 있다. 앙코르 와트는 그 거대한 규모뿐만 아니라 지극히 정교한 건축 기술과 벽화들로도 매우 유명하며, 특히 여백을 거의 찾아볼 수 없을 정도로 빽빽히 새겨진 부조들로 잘 알려져 있다. 앙코르(Angkor)는 산스크리트어 나가라에서 파생된 도읍이라는 의미의 노코르(Nokor)의 방언이고, 와트(Wat)는 크메르어로 사원이라는 뜻이니 앙코르와트는 '사원의 도읍'이라는 뜻이된다. '사원의 도읍'이라는 의미인 앙코르 와트라는 이름은 16세기 이후부터 사용되었다.",위키백과,0.61627888,0.39973055,0.08085716,"사원, 아름답다, 건물, 기념물, 고대",https://youimg1.tripcdn.com/target/100i0z000000nk62g4450_C_760_506_Q70.jpg?proc=source%2ftrip,0,,cambodia_angkor-wat_origin.csv
china_01,중국,상하이 디즈니랜드,Disney Resort,"상하이 디즈니랜드는 미국 엔터테인먼트업체 월트 디즈니와 중국 상하이 선디(申迪)그룹이 지분 43%대 57%로 지난 2011년부터 총 55억달러(6조400억원)를 투자해 만들었고 2016년 6월 16일에 개업하였다. 전세계에서 여섯 번째이자 아시아에서 도쿄, 홍콩에 이어 세 번째 디즈니랜드다. 상하이 푸둥(浦東)의 중간 촨사(川沙) 신도시에 위치한 상하이 디즈니리조트는 3.9km2 면적을 차지해 아시아 최대 테마파크로 꼽힌다. 입장료는 비수기 377위안(약 6만 4000원), 성수기 499위안(약 8만 5000원)이며 평일에는 399위안, 성수기(여름방학·주말·공휴일)는 575위안, 춘절 및 국경절 연휴기간은 665위안이다. 중국의 일반 직장인들 봉급 생각하면 부담스러운 요금이지만 어린이나 노약자는 25% 할인해주고 영·유아는 무료입장도 가능하다.",위키백과,0.6822338,0.39356721,0.27757987,"프로젝트, 시간, 불꽃, 줄, 아이",https://youimg1.tripcdn.com/target/10010700000025soo91A8_C_760_506.jpg,0,,china_disneyresort_origin.csv
china_02,중국,황푸강,Huangpu River,"황푸강(黄浦江)은 타이후(太湖, 태호)에서 발원해서 전체 113km를 흘러간다. 중국 상하이의 중요한 수원으로 장강으로 흘러들어간다. 장강을 통해 바다로 흘러들어가는 최후의 지류이다.소주하(苏州河), 온조빈(蕰藻浜), 천양하(川楊河), 정포하(淀浦河), 대치하(大治河), 사탕(斜塘), 오나설경(园泄經)과 대묘항(大泖港)을 흘러간다.푸동 국제공항에서 시내로 가려면, 반드시 아래의 다리 중 하나는 지나치게 된다. 보통 루푸대교나 난푸대교 중 하나를 지나치게 된다. 난징루, 와이탄 등 대부분의 상하이의 관광지는 이곳을 넘어 푸시로 가야 하므로, 보통 숙박도 푸시에서 하게 된다.",위키백과,0.70636134,0.94404873,1,"아름답다, 풍경, 가치, 양쪽, 재미",https://youimg1.tripcdn.com/target/10021f000001gxcdwB7C4_C_760_506.jpg,0,,china_whangfuriver_origin.csv
france_01,프랑스,루브르 박물관,Louvre Museum,"루브르 박물관(프랑스어: Musée du Louvre)은 프랑스 파리의 중심가인 리볼리가에 있는 국립 박물관이다. 소장품의 수와 질 면에서 메트로폴리탄 미술관, 대영박물관과 함께 세계적으로 손꼽히는 박물관이다. 현재의 건물은 루브르 궁전을 개조한 것으로, 파리의 세느강 주변을 포함하여 세계유산으로 지정되어 있다. 루브르 박물관 앞의 유리 피라미드 조형물인 루브르 피라미드는 근대에 건설된 것으로 한때 어울리지 않다는 평이 많았으나 현재는 루브르를 대표하는 조형물이 되었다. 프랑스어로 뮈제 뒤 루브르, 그랑 루브르, 또는 단순히 루브르라고도 불린다. 루브르 박물관은 루브르 궁전 내부에 위치해 있다. 루브르 궁전은 12세기 후반 필립 2세의 명으로 착공되었는데, 그 당시만 해도 궁이 아닌 요새였다. 아직도 당시의 요새 잔재들을 볼 수 있다. 이 요새가 루브르 궁이 되기까지 수차례에 걸친 건물 확장 공사가 이루어졌다. 1672년 루이 14세가 베르사유 궁전에 거주하기로 결정하고 루브르를 왕실의 수집품을 전시하기 위한 장소로 쓰도록 했다. 1692년 루브르 건물에 왕립 아카데미가 들어서고 1699년에는 첫 번째 살롱전이 개최되었다. 아카데미는 루브르에 100년동안 남아 있었다. 프랑스 대혁명 당시, 국민회의는 루브르가 박물관으로서 국가의 걸작을 전시해야 한다고 선포하였다. 박물관으로서의 루브르는 1793년 8월 10일 537점의 회화를 전시하며 첫 문을 열었는데 전시된 작품은 대부분 몰락한 귀족과 교회에서 징발된 수집품들이었다. 박물관 건물 내부의 구조적 문제로 인해 박물관이 1796년에서 1801년까지 문을 닫았다. 나폴레옹이 통치하던 시기에 소장품의 규모가 크게 늘었고 이름도 뮈제 나폴레옹으로 바뀌었다가 워털루에서 나폴레옹이 대패하자 나폴레옹 군대에 빼앗겨 루브르로 보내졌던 많은 작품들이 고국으로 돌려보내졌다. (사실 당시 박물관장이 지하실에 빼돌려 돌아가지 못한 작품도 여럿 된다고 한다.) 루이 18세와 샤를 10세 재위기간에 다시 한번, 더 큰 규모로 소장품이 늘었고, 제2제국(나폴레옹 3세 통치 기간) 중에 20,000여 점의 수집품이 들어왔다. 소장품은 제3공화국 때부터도 기증과 선물로 계속해서 규모가 커지고 있으며 2008년 기준으로는 8개의 전시관에 나뉘어 있다. 이집트 고대유물관, 근동 유물관, 그리스와 에트루리아, 로마 유물관, 이슬람 미술관, 조각 전시관, 장식품 전시관, 회화관 그리고 판화와 소묘관 등이다.",위키백과,0.45372492,1,0.41135804,"예술, 보물, 시간, 가치, 궁전",https://youimg1.tripcdn.com/target/100a10000000p38eiD4A7_C_760_506_Q70.jpg?proc=source%2ftrip,0,,france_Louvre Museum.csv
france_02,프랑스,베르사유 궁전,Versailles Palace,"베르사유궁(프랑스어: Château de Versailles)은 프랑스의 베르사유에 있는 왕궁이다. 베르사유는 원래 파리의 시골 마을 중 하나였으나 이 궁전이 세워진 이후부터는 자치권을 가지는 파리 외곽의 도시가 되었다. 베르샤유궁은 단순 사치를 위한 궁전이 아니라 태양왕 루이14세의 정치적 목적이 있다. 지역 귀족을 이 궁으로 모이게하면 그 귀족들을 감시하기 쉽기 때문이였다. 또한 베르사유 궁전은 원래 왕이 사냥할 때 머무는 여름 별장이었으나 1682년 루이 14세가 파리 루브르궁에서 이 궁전으로 거처를 옮겨, 1789년 왕가가 수도로 돌아갈 것을 강제될 때까지 프랑스 앙시앵 레짐 시기, 권력의 중심지였다. 바로크 건축의 대표건축물으로, 호화로운 건물과 광대하고 아름다운 프랑스식 정원에 1,400개의 분수들 그리고 오페라와 거울의 방으로 유명하다. 거울의 방은 벽과 천장이 베네치아산 거울로 된 길이73m의 방인데 1차 세계대전을 형식적으로 마무리지었던 베르사유 조약이 1919년 6월 28일에 이 방에서 이루어졌다. 베르사유 궁전은 한번에 2만 명이나 수용할 수 있는 커다란 안뜰을 둘러싸고 있는데 안뜰에는 대트리아농과 소트리아농을 포함하여 작은 궁전들이 있다. 또한 1783년 이 안뜰에서 세계 최초의 열기구가 떠올랐다. 베르샤유궁을 본격적으로 궁전으로 만든 절대왕정의 태양왕 루이14세는 자신을 상징하는 태양,태양신인 아폴론을 베르샤유궁에 배치했다. 대표적으로 거울의 방 천장화에 아폴론을 그려놓았고 아폴론이 끄는 마차를 동상으로 장식된 분수또한 만들었다. 이러한 분수를 만들기 위해서는 상당히 많은 양의 물이 필요하지만 베르샤유궁의 위치는 고지대에 있기 때문에 센강의 물을 펌프로 퍼 와야 했다. 또한 아폴론의 동상을 궁정에 놓았고 이뿐만이 아니라 그리스 로마 신화를 상징하는 것을 궁전에 디자인 장식으로 사용했다.베르사유 궁전이 실제로 궁전으로서 사용된 기간은 매우 짧고, 1715년 루이 14세 사후, 뒤를 이은 루이 15세는 곧바로 파리로 다시 궁전을 옮겼다. 나중에는 프로이센(프러시아)가 파리를 점령하고 베르사유궁에서 빌헬름 1세의 즉위식이 열리기도했다.",위키백과,0.51013179,0.63338221,0.36855337,"정원, 화려하다, 시간, 아름답다, 루이",https://youimg1.tripcdn.com/target/100r0y000000lsc144F86_C_760_506.jpg,0,,france_palace-of-versailles_origin.csv
france_03,프랑스,에펠탑,Effel Tower,"에펠탑(프랑스어: Tour Eiffel, [tuʁ ɛfɛl], 영어: Eiffel Tower)은 프랑스 파리의 상징적 건축물로, 1889년에 프랑스 혁명 100주년을 맞이하여 파리 만국 박람회를 개최하였는데 이 박람회를 상징할만한 기념물로 에펠 탑을 건축하였다. 박람회가 열린 마르스 광장에 출입 관문에 위치해있다. 프랑스의 대표 건축물인 이 탑은 격자 구조로 이루어져 파리에서 가장 높은 건축물이며, 매년 수백만 명이 방문할 정도로 파리에서 빼놓을 수 없는 세계적으로 유명한 관광명소이다. 이 탑은 공모전을 통해 선정된 프랑스 공학자 귀스타브 에펠의 작품으로 이를 디자인한 그의 이름을 따서 명명했다. 에펠탑은 그 높이가 330m이며, 이는 81층 높이의 건물과 맞먹는 높이이다. 1930년 크라이슬러 빌딩이 완공되기 전까지는 세계에서 가장 높은 건축물이었다. 방송용 안테나를 제외하고도, 2004년 지어진 미요 교에 이어 프랑스에서 두 번째로 높은 구조물이다. 1991년에는 세계문화유산으로 등재되었다. 현재의 긍정적인 평가와는 달리 착공 초기부터 도시미관을 훼손한다는 이유로 '흉물스럽고 추악한 철 구조물'이라는 등에 많은 비난이 있었으며, 이로 인해 20년이라는 계약기간이 만료되는 1909년에는 철거될뻔한 위기도 있었다. 통신 시설물을 설치하여 활용가능하다는 사실이 증명되며 해체의 위기를 간신히 넘겼다. 훗날 여러 영화에서 배경으로 자주 사용하면서 파리 하면 많은 사람들이 제일 먼저 떠올리는 상징물이 되었으며, 현재에는 파리의 대표적인 명물로 사랑을 받고 있다. 1985년 야간 조명시설이 설치된 이후 파리의 아름다운 야경을 만드는 데 일조하고 있는데, 밤이 되면 매 시각 정각부터 약 10분간 에펠탑이 반짝 거리는 쇼를 볼 수 있다. 관광객을 위해 3개 층이 개방되어 있다. 첫 번째 층과 두 번째 층 까지는 표를 구입하여 계단하고 엘리베이터를 통해 올라갈 수 있다. 첫 번째 층까지의 높이와 첫 번째 층부터 두 번째 층까지의 높이는 각각 300 계단이 넘는다. 가장 높은 세 번째 층은 엘리베이터로만 올라갈 수 있다. 첫 번째 층과 두 번째 층에는 음식점이 있다.하지만 최근 바람과 비로 인해 부식이 진행 되고 있는 상황이다.",,0.57575645,0.31061547,0.37193402,"아름답다, 세계, 건물, 밤, 랜드마크",https://youimg1.tripcdn.com/target/100n0x000000lf9m0200D_C_760_506_Q70.jpg?proc=source%2ftrip,0,,france_eiffel-tower_origin.csv
